fcc_bulk,twin_HCP,IhDh_spine,Ihcenter,Dh_notch_edge,surface111,surface100,IhDh_edge,edge_111_100,edge_111_111,Dh_notch_vertex,IhDh_vertex,tetrahedral_edge,TO_vertex,CO_vertex,Unknown,Temp,Ag,Cu,Pd,Au
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,475.0,1.0,0.0,0.0,0.0
0.0,9.0,6.0,0.0,0.0,6.0,1.0,15.0,0.0,0.0,13.0,5.0,0.0,3.0,0.0,58.0,800.0,1.0,0.0,0.0,0.0
24.0,14.0,0.0,0.0,0.0,18.0,1.0,0.0,14.0,0.0,10.0,0.0,0.0,24.0,0.0,11.0,500.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,525.0,1.0,0.0,0.0,0.0
0.0,2.0,2.0,0.0,0.0,5.0,0.0,18.0,1.0,2.0,8.0,6.0,0.0,1.0,0.0,71.0,720.0,1.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,7.0,6.0,0.0,3.0,0.0,86.0,700.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,8.0,5.0,0.0,2.0,0.0,97.0,690.0,1.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,625.0,1.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,875.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,450.0,1.0,0.0,0.0,0.0
0.0,20.0,17.0,1.0,1.0,10.0,0.0,30.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,21.0,670.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,12.0,3.0,2.0,5.0,0.0,87.0,710.0,1.0,0.0,0.0,0.0
24.0,14.0,0.0,0.0,0.0,18.0,1.0,0.0,14.0,0.0,10.0,0.0,0.0,24.0,0.0,11.0,425.0,1.0,0.0,0.0,0.0
0.0,2.0,4.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,5.0,5.0,1.0,4.0,0.0,81.0,775.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,400.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,670.0,1.0,0.0,0.0,0.0
12.0,21.0,4.0,0.0,1.0,16.0,4.0,16.0,12.0,0.0,2.0,2.0,0.0,12.0,0.0,14.0,375.0,1.0,0.0,0.0,0.0
24.0,14.0,0.0,0.0,0.0,18.0,1.0,0.0,14.0,0.0,10.0,0.0,0.0,24.0,0.0,11.0,500.0,1.0,0.0,0.0,0.0
2.0,13.0,7.0,0.0,0.0,11.0,0.0,25.0,3.0,0.0,7.0,6.0,0.0,5.0,0.0,37.0,690.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,475.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,8.0,0.0,2.0,0.0,90.0,740.0,1.0,0.0,0.0,0.0
1.0,2.0,1.0,0.0,0.0,3.0,0.0,14.0,1.0,4.0,6.0,5.0,0.0,1.0,0.0,78.0,660.0,1.0,0.0,0.0,0.0
30.0,7.0,0.0,0.0,1.0,19.0,3.0,0.0,17.0,2.0,4.0,0.0,0.0,21.0,1.0,11.0,550.0,1.0,0.0,0.0,0.0
3.0,8.0,0.0,0.0,1.0,7.0,1.0,7.0,3.0,3.0,9.0,1.0,0.0,7.0,0.0,66.0,720.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,3.0,0.0,95.0,850.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,1.0,4.0,10.0,2.0,0.0,9.0,0.0,80.0,750.0,1.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,425.0,1.0,0.0,0.0,0.0
0.0,0.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,1.0,9.0,9.0,0.0,3.0,0.0,81.0,800.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,300.0,1.0,0.0,0.0,0.0
12.0,21.0,4.0,0.0,4.0,14.0,4.0,16.0,14.0,0.0,4.0,2.0,0.0,12.0,0.0,9.0,525.0,1.0,0.0,0.0,0.0
2.0,2.0,1.0,0.0,0.0,5.0,2.0,4.0,4.0,0.0,4.0,9.0,0.0,6.0,2.0,75.0,710.0,1.0,0.0,0.0,0.0
0.0,14.0,14.0,1.0,0.0,9.0,0.0,32.0,1.0,5.0,6.0,7.0,0.0,2.0,0.0,25.0,600.0,1.0,0.0,0.0,0.0
24.0,14.0,0.0,0.0,0.0,18.0,1.0,0.0,14.0,0.0,10.0,0.0,0.0,24.0,0.0,11.0,325.0,1.0,0.0,0.0,0.0
0.0,8.0,6.0,0.0,1.0,8.0,0.0,20.0,1.0,1.0,14.0,6.0,0.0,1.0,0.0,50.0,680.0,1.0,0.0,0.0,0.0
17.0,21.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,24.0,0.0,15.0,625.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,575.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.0,2.0,0.0,4.0,0.0,93.0,730.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,8.0,6.0,0.0,6.0,0.0,88.0,825.0,1.0,0.0,0.0,0.0
0.0,1.0,4.0,1.0,1.0,1.0,0.0,12.0,0.0,1.0,8.0,6.0,1.0,3.0,0.0,77.0,700.0,1.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,450.0,1.0,0.0,0.0,0.0
0.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,13.0,2.0,0.0,7.0,0.0,82.0,875.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,12.0,6.0,0.0,4.0,0.0,87.0,900.0,1.0,0.0,0.0,0.0
31.0,7.0,0.0,0.0,0.0,21.0,3.0,0.0,18.0,0.0,6.0,0.0,0.0,24.0,0.0,6.0,350.0,1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,4.0,1.0,3.0,0.0,94.0,775.0,1.0,0.0,0.0,0.0
0.0,19.0,18.0,1.0,1.0,9.0,0.0,34.0,3.0,0.0,2.0,7.0,0.0,1.0,0.0,21.0,650.0,1.0,0.0,0.0,0.0
1.0,4.0,2.0,0.0,2.0,4.0,0.0,13.0,2.0,3.0,9.0,5.0,0.0,3.0,0.0,68.0,875.0,1.0,0.0,0.0,0.0
0.0,18.0,18.0,1.0,0.0,9.0,0.0,30.0,1.0,1.0,4.0,8.0,0.0,3.0,1.0,22.0,690.0,1.0,0.0,0.0,0.0
12.0,21.0,4.0,0.0,4.0,14.0,4.0,16.0,14.0,0.0,4.0,2.0,0.0,12.0,0.0,9.0,325.0,1.0,0.0,0.0,0.0
0.0,10.0,13.0,1.0,0.0,15.0,0.0,40.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,25.0,525.0,1.0,0.0,0.0,0.0
0.0,20.0,18.0,1.0,0.0,10.0,0.0,35.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,700.0,1.0,0.0,0.0,0.0
